name,id,sign,comment
大家的音乐姬,32708543,音乐区官方账号就是在下！,新歌如约而至！！[奶茶干杯][热词表情_哎呦不错哦]周董邀你参赛啦！周杰伦《最伟大的作品》新专辑同名曲MV已上线，新歌二创大赛火热进行中，不限分区、不限形式，还有机会被周董批改作业?  传送门：https://www.bilibili.com/blackboard/Zhoujielun-H5.html
郎朗,479893558,郎朗上头 ,哎呦不错呦[辣眼睛][辣眼睛][辣眼睛]
于心而笙,184921089,逗比逗比逗比逗比快看大逗比,哈哈哈哈哈MV里都是杰伦自豪的小魔术哈哈哈哈哈[doge]
中国森林消防,290573666,我们是国家综合性消防救援队伍，“全灾种，大应急”，我们一直守护在你的左右！投稿邮箱：zgxfjy@foxmail.com,想象依然无限大，作品依旧周杰伦。[歪嘴]
橘9啊,14576880,没什么特别,从11点59开始不停刷新的样子真的很狼狈[妙啊][妙啊][妙啊]
茶鸟-,215217926,不要跟傻b争论,原来只有一首歌吗，我还以为整张专辑都有[笑哭]（想太美
Reality-大帝,91443113,你我山巅自相逢,三年又三年，周杰伦你知道这6年我是怎么过的吗！！！
生死狙击2官方,384306796,生死狙击2全面公测！与杰伦一起为热爱上膛！,"还好提前吃了定心丸，差点激动的厥过去
不愧是哥最伟大的作品！听说708还有给咱拍的微电影[doge][doge][doge]"
秃头的白小明,22707531,顶上战争剧场版进度：70％.....（商业合作请加QQ1143071667）,太对味了！哥！！！
咪咕音乐官方,522608013,放肆听 趣玩乐,这就是周杰伦的艺术狂想！你永远可以相信周杰伦！惊喜如期而至，热爱永不停歇[打call][打call][打call]
king金鑫-音乐制作,15400649,"腾讯、网易音乐人：king金鑫
音乐制作、作曲、作词、编曲
jay铁粉，以更新个人原创歌曲、jay相关改编、二创视频为主，谢谢关注
",周杰伦牛逼！
Frankiiu,176431710,Peace&Love,听了钢琴前奏就感觉...周杰伦不愧是华语乐坛永远的神。[打call]
毕导THU,254463269,科学的精神……是什么？  公众号/微博：毕导THU。B站商务联系: s1012295607,Ohhhhhhhh！终于来了！
杭州联通,505670427,为了防止世界被破坏，为了守护世界的和平，贯彻爱与真实的主题，可爱又迷人的up主，杭州联通是也~~,你知道我这6年是怎么过来的嘛！！！！
黑暗骑士SWEET,174385946,不要这高，不要这多雪（商务合作请加微信号hzy5DSB或发送至邮箱mcn@youximedia.net）,周杰伦，古典的神
歪果仁研究协会,32820037,微博@歪果仁研究协会 商务合作bd@wewowwe.com,这世上的热闹 出自孤单
SY4Kai,1131897656,伴我行是寂寥,三年又三年，终于盼来《最伟大的作品》！！！[奶茶干杯][奶茶干杯][热词表情_哎呦不错哦]
QQ伦宝,180765137,"主周杰伦和张卫健
张卫健粉丝群516680017（备注B站名字）
关注我的杰迷说不用建杰伦群
小学入坑周杰伦
大学入坑张卫健
踩他俩直接拉黑",啊啊啊啊啊啊啊周杰伦我爱你啊啊啊！周杰伦你是我永远的神！六年了，周杰伦你知道这六年我是怎么过的吗[大哭]新歌终于来了！新专辑终于要来了！
周周周周周周杰伦,261273252,,周杰伦你是我的神！！！
木檑,19462215,大抵是一个年更UP，抑或是一个普通观众,三年又三年，你知道这6年我是怎么过的吗！！！[热词表情_哎呦不错哦][热词表情_哎呦不错哦][热词表情_哎呦不错哦][热词表情_哎呦不错哦]
mine叶湘伦,479337999,你点关注的那一刻，也许是你懂我.....一个正在努力的音乐up，我是mine叶湘伦，谢谢你的加入，也谢谢曾经加入过的人，一直进步，从未退缩。,啊啊啊啊啊 周杰伦(破音)[打call][打call][打call]
河南共青团,323194278,做一个有态度的团团，可千万不要不习惯哦！全站最爱互动的豫团，欢迎大家多多私信互动吖！,哎呦！人蛮多的哦！[嗑瓜子]
九梦如似,607433342,"历经半世，与众生万物保持平衡，方可心静体安！
如果我太累了，那我就失衡了！
音乐可以帮我平衡，谢谢你Jay  Wyt","如果你还没听周杰伦，你可以回到22年前的Jay专辑开始，音乐会带你穿梭时空！
请大家珍惜这位21世纪华语乐坛最后一个超级全能天王，在整个华语流行音乐历史上，他是活着的传奇！
如果你要黑他，请听完近400首作品，再来评价！"
厌食同学,14487572,音乐区不入流up主，佛系养老，合作请联系fiv5lau,周杰伦，真的是华语乐坛近100年出现过的最好的事，你几乎再也找不到一位古典功底如此深厚，却又能在流行领域取得如此成就的音乐家。正如我跟友人说过的那句话“尽管周杰伦已经取得如此成就，他仍然被这个时代低估了”
枫辰於理,23866453,专栏区/字幕区/动态区UP。舞区爱好者和舞区追番者。赤九玖、凳猫猫、桃核、苏司喵 一生推。Re-M!X组合和Live组合死忠粉。,"我发布了一篇笔记，快来看看吧
简单介绍一下收集到的具象物和对应的大师们：  苹果 雷尼·马格里特（Magritte Rene 1898-1967），比利时画家。1898年11月21日生...
https://www.bilibili.com/h5/note-app/view?cvid=17433249&pagefrom=comment"
秘术法师,31188557,哈哈哈哈哈哈哈哈哈哈哈哈哈,"郎朗的两个作用：
1.弹钢琴
2.显得杰伦很瘦
[滑稽][滑稽][滑稽][脱单doge][脱单doge][脱单doge]"
开口即食,699440,,他为新专辑取名《最伟大的作品》，原本以为是他狂妄（当然他完全担得起），但看完mv才懂这是他的致敬。他把自己当作一个学生，致敬先贤才是这张专辑的意义。这首歌也是他这些年来的精神世界对于艺术的探索吧，音乐、美术、文学，艺术是人类的精神食粮。古人有云：宁可食无肉，不可居无竹。这世上一直有一批人，毕生都没有放弃对美学的追求，从梵高、莫奈、徐志摩，到朗朗，他们都是为推动人类精神世界探索的经典符号，而周杰伦，他就像一个向导，带领我们穿越时空的壁垒，徜徉艺术的长河。
第十二执行官旅者,377704229,今日解签，宜下江南。,看了一遍，大致看懂了MV，首先开头是引用了电影《不能说的秘密》里面的《Secret》这首钢琴曲，（电影中的设定为在老琴房弹奏这首钢琴曲可以穿越，这个电影也是周董导的处女作，很好看，强烈推荐，里面的电影原声带也很好听，基本上也都是周董自己写的），周同学和同伴借助这首钢琴曲化身时空旅人见到了各位赫赫有名的艺术家们，与他们有了交流，在间奏的时候，朗朗进来了，与周同学开始了斗琴，这点和不能说的秘密里的片段也很像，接着周同学见到了莫内（也就是莫奈，画睡莲和日出印象的那位），然后说出了自己对自己的印象—时代的狂，音乐的王，万物臣服在我乐章…（没错，就是这么狂！但是你却无法反驳），在遇到徐志摩的咖啡厅那里，助手打开了一个笔记，里面写了遇到的各位艺术家们，只有最下边画的一个钢琴也就是朗朗，是打上了问号，到了最后，我们知道了，当他们回去的时候，朗朗出现了，原来朗朗也是时空旅人
异世界传送学副学士,12578885,一生悬命,这次的MV中与杰伦互动的仍然没有女人[脱单doge]
大厨官方号,1877526468,老板电器旗下高端子品牌，将嵌入式专利技术应用于台式厨电，用耐用品理念设计台式厨电,他甚至为了这个mv减肥了，他爱我！！！！！[大哭]
广东工业大学,282966464,团结 勤奋 求是 创新    优秀视频投稿及合作请发至邮箱gdutsncsmb@163.com,来了来了，杰伦NB[喜欢]！！！
Meetfood觅食,447317111,海外美食测评，美食的背后是文化和故事,终于等到！
魅族科技,200336749,魅族科技创立于 2003 年，是科技生活产品及软件生态服务创新者。未来，我们将积极融入全球出行科技生态，跨界打造用户生态链，实现超级协同。,来晚了，还有位置让让么[打call][打call][打call]
娃哈哈,652532931,天冷的时候，你会想起和谁一起喝娃哈哈？,前奏响起，回来了，我能感觉到，一切都回来了[打call]！
CSGO国服,48455786,关注开箱必出金！打游戏必连胜！,他还是这么喜欢斗琴[OK]
七宫真纪,12363600,你说有一座岛屿 那天起我自己决定,"已经过去13分钟了，还不出新专辑
生产队的驴都不敢这么歇"
MSI微星显卡官方账号,125086406,一个绝对正经的显卡官方账号，（售后问题联系400客服，其他问题尽量私信）,快给我一巴掌，告诉我不是在做梦！终于等到了[喜欢]
食贫道,39627524,"大开大合
vx:sihechuangyi  ",我好了！[呆]
真的很混,386838455,,我操 好听
成都市场监管,285868415,,周董喝的是哪家的奶茶呀[妙啊]
lilyyyyyyyJay,107637086,,这mv里的杰伦怎么感觉大了那么一圈[奶茶干杯]
阿里云盘,1419887011,听说视频和动态里会不定时掉落福利哦～,终于等到了！！！！！！！
中国森林消防,290573666,我们是国家综合性消防救援队伍，“全灾种，大应急”，我们一直守护在你的左右！投稿邮箱：zgxfjy@foxmail.com,杰伦的歌，朗朗上头。这歌太火了，消防车随时待命。[辣眼睛][辣眼睛][辣眼睛]
腾易游戏官方,172694533,不是官方，做视频图一乐,“这世上的热闹，出自孤单”
猫耳诗,14400951,,"当一件伟大的作品被创作出来时
艺术家并不会知道
自己成就了一整个艺术时代
————时隔六年，2022年7月15日，周杰伦第十五张专辑《最伟大的作品》正式上线"
木土一鸟,40227678,,谨慎说一句，保持水准的作品。杰伦要玩艺术了。
云南日报,1059208559,最懂新闻的云宝。颜值高，但不是花瓶～可严可甜,终于！！！等到周杰伦！！[奶茶干杯]
V5电子竞技俱乐部官方,390601281,恭喜你捕获一只真·V5官方！关注我们，随时查看最新视频动态哦~,什么叫华语乐坛的王啊？[OK][OK]（后仰）
#NAME?,506729595,我不能够后退 因为不是绿叶,[热词表情_哎呦不错哦]这是一張让80、90甚至我这个00后大学生甘愿等待的杰倫哥新專，哥的跨時代和无以倫比真的不只是說說而已。迎合市場从来不是哥的作風，他更不需要怎樣證明自己。回归很可能是杰倫給粉丝和华语乐坛的一曲绝唱，愿听完这张專輯，我们属于“Woo”的青春脑海中还在旋转…
啾啾啾哔啾啾,7244800,喵咪咪~  喵咪咪~   喵喵喵喵喵喵喵喵咪！,这MV致敬了诸多世界名画《人类之子》，画家达利的造型，还有好多……他还是忘不了变魔术[笑哭][笑哭][笑哭] 另外说一句：郎朗藏的好深 一点风声都没透漏出来[热词系列_好家伙]
當時年少春衫薄-,85388430,好好学习，天天向上，日有长进,点赞会有诶呦不错偶[打call]
断夏枯秋,23190425,,"周杰倫【最偉大的作品】
曲：周杰倫
詞：黃俊郎/謝迪
導演：周杰倫
哥穿著復古西裝 拿著手杖 彈著魔法樂章
漫步走在 莎瑪麗丹 被歲月 翻新的時光
望不到邊界的帝國 用音符築成的王座
我用琴鍵穿梭 1920錯過的不朽
啊
偏執是那馬格利特 被我變出的蘋果
超現實的是我 還是他原本想畫的小丑
不是煙斗的煙斗 臉上的鴿子沒有飛走
請你記得 他是個畫家 不是什麼調酒
達利翹鬍是誰給他的思索 彎了湯匙借你靈感不用還我
融化的是牆上時鐘還是乳酪 龍蝦電話那頭你都不回我
浪蕩是世俗畫作裡最自由不拘的水墨
花都優雅的雙腿是這宇宙筆下的一抹
飄洋過海的鄉愁種在一無所有的溫柔
寂寞的枝頭才能長出
常玉要的花朵
小船靜靜往返 馬諦斯的海岸
星空下的夜晚
交給梵谷點燃
夢美的太短暫 孟克橋上吶喊
這世上的熱鬧 出自孤單
花園流淌的陽光 空氣搖晃著花香
我請莫內幫倜忙
能不能來張自畫像
大師眺望著遠方
硏究色彩的形狀
突然回頭要我說說我對我自己的印象
世代的狂
音樂的王
萬物臣服在我樂章
路還在闖 我還在創
指尖的旋律在渴望
世代的狂
音樂的王
我想我不需要畫框
它框不住
琴鍵的迍庙
千品立介
全部是末來蓺術花園流淌的陽光
空氣搖晃著花香
我請莫內幫個忙 能不能來張自畫像
大師眺望著遠方
研究色彩的形狀
突然回頭要我說說我對我自己的印象
世代的狂 音樂的王 萬物臣服在我樂章
路還在闖
我還在創
指尖的旋律在渴望
世代的狂 音樂的王
我想我不需要畫框
它框不住琴鍵的速度 我的音符 全部是末來蓺術
日出在印象的港口來回
光線喚醒了睡著的花葉
草地正為一場小雨歡悅 我們彼此深愛這個世界
停在康橋上的那隻蝴蝶
飛往午夜河畔的翡冷翠
遺憾被偶然藏在了詩頁 是微笑都透不進的世界
巴黎的鳞瓜 感傷的文法要用音樂翻閱
晚風的燈下
旅人的花茶
我換成了咖啡
之後他就 愛上了苦澀這個複雜詞彙
因為這才是揮手 向雲彩道別的滋味
小船靜靜往返 馬音斯的海岸
星空下的夜晚
交給梵谷點燃
夢美的太短暫
孟克橋上吶喊
這世上的熱鬧 出自孤單"
武汉大学,522122532,山水一程，三生有幸 || 投稿邮箱：WhuRmtBilibili@163.com,[打call]
比亚迪,628823248,为什么升级速度这么慢呀QAQ,一下子唱在了小迪的那个呃...心.心巴上[热词表情_哎呦不错哦]
星辉下的城市,33477389,,0：23 打开钢琴是青花瓷，太细了
警花说,398582016,我们是警花天团，一起守护你的安全！梦幻联动可联系AM10040006，欢迎来撩~,[doge]世代的狂  音乐的王！！
开心麻花官方账号,14302878,“开心麻花”是一出戏，一种风格，也是一种娱乐精神，一种生活态度。,还是原来的配方，还是熟悉的味道[委屈]
江南大学,324504908,"笃学尚行  止于至善
国家“211工程”重点建设高校
双一流建设高校
投稿邮箱：jnurmtgzs@163.com",[打call][打call][打call]终于来了！[奶茶干杯]
贾逸可,48421904,某宝店铺：贾逸可工作室 vx：lavender8936 | 乐器设计与测评 | 华语乐坛翻唱系列 ,ohhhhh！来了来了！！！
雅迪电动车官方,571307144,东奔又西跑，买辆雅迪好,你知道这6年我是怎么过来的吗[酸了]
杭州联通,505670427,为了防止世界被破坏，为了守护世界的和平，贯彻爱与真实的主题，可爱又迷人的up主，杭州联通是也~~,时代的狂，音乐的王！！！
一加手机,9535164,不想当最惨官号了q.q  关注一波~让一加火,七月最大的惊喜！[奶茶干杯]杰伦真的好爱展示他的小魔术哦[脱单doge]
欧莱雅男士官方,500615835,欧来欧来，欧气自来！欢迎来到欧气爆棚之地！随时随地@我就有好运气～,前！额……五万！！[奶茶干杯][奶茶干杯]
梗指南,94510621,关注我，看懂别人玩的梗！ 商务合作：CLQDSTS（备注品牌）,兄弟你瘦啦[奶茶干杯]
百变法君_DGSEWARNING,73449268,理中客，无脑卫兵，双标者，拱火人以及一个愿打一个愿挨的鸵鸟，赶紧给我有多远爬多远，我看着你们就嫌恶心,"你可知，晴天已经已经陪伴我们19年了，但是我们却再也回不去那年的卿卿我我的恋爱时期，那年即使是异地恋，即使是双方已经不爱者对方，却依然还思念的那一边
你可知，霍元甲陪伴了我们16年，但是功夫已经退出了时代的舞台，李小龙先生也离开了我们49年，没能继续带领我们向全国人展示功夫当年最强的时候，让他们也知道，当年的功夫，地位是跟现在的枪炮热武器一样平起平坐，都是可以致命的
你可知，七里香也已经陪伴了我们18年，七里香的出现，让那年的夏天变得各位的清爽和明朗，即使时过境迁，已经过了那么多年，再听这首歌，也能让我们经历一次走马灯回忆录，让我们回忆起那些年的夏天，那些年看过的动漫，那些年喜欢过的东西，那些已经逝去的青春和童年，那些仿佛逝去的他们都突然在你的面前
你可知，稻香已经也陪伴我们了14年，但曾经的那片满满的稻香田地，却已经离我们很久了，曾经让我们中国人人人都吃饱饭的那位袁爷爷，也已经离开我们1年了
是啊，我都知道，我也知道，他们已经离我们很远很远了，他们不会再回来了，我们也回去了，但我听周董的歌曲，总感觉，仿佛一切的一切，都才在昨天发生过，即使过去了很久，都让我感觉，他们昨天来过，他们离去的，并不是很久
我认识你，你变成我的青春和童年，我觉得是我最大的福气，我也不曾后悔认识你
                                                           ——致杰伦，致我们已经逝去的青春"
UFC精神科潘医生官方,353877141,"一个平平无奇
        兴趣广泛的
   主任罢了
 U F C
那一天  值得期待
那一眼  满载星海
             ",来了来了
贰狗哥,38020836,自求者多福,我打赌，这首歌杰伦记不住词
LPL战术小黑板,594534726,起标题困难户，当晚复盘第二天肝后期，珍惜up用头发换来的每个视频。商务合作VX：18616249917,前奏一响起来，仿佛回到了小学初中的MP3，MP4时代，那个时候家里还不能上网，所以只能去卖机器的地方要点里的大哥哥下载[tv_晕]，无论是一开始的MP3还是后面换的MP4，都会跟那个大哥哥说一声，我要所有周杰伦的歌，他就会收我10块钱[tv_大哭]，用一个下午的时间下载（200k一秒小水管），MP4的时候能看视频，所以也会让他下MV，看电视最常看点播台，因为经常有人会点杰伦的MV，印象最深的是《夜的第七章》，看到新MV真的感觉回到了那个时光，很感谢很久很久以前，刚刚拥有MP3的时候，同学给我推荐的歌手，有且只有一个杰伦[tv_腼腆]
我也守护辣,57935013,暂时离开这个充满我回忆的地方，有缘再见。,从未有过如此美妙的中午
SSD小波,28673629,白给区日更UP，每天晚上21点开播，晚上有事就下午播,还是那么屌[打call]
拜托了小翔哥,353539995,大家好，我是小翔哥。未来大家有什么想吃的玩的测试的，尽情来拜托我吧。拜托方式qq：375500571,支持偶像！还是那么帅气！[打call][打call][打call]
SuccessDiary_帅帅,4963278,一个正在和屏幕前的你一起成长的频道。,这杰伦味道浓到立马感觉回到了十几年前，瞬间感觉自己年轻了十几岁[大哭]
北京移动官方,1074675619,上能官方整活，下能花式宠粉，北京移动官方是也！,[doge]这必须得有我
听风任雨,35958161,,男大学生集合！！！！
德国小哥duke杜克,449208603,影片制作人，独立音乐人  通过音乐认识世界的德国小哥杜克（商务请联系Shangjing-BD）微博同ID,He is a music genius!
PB阿星儿,13733433,微博同名.粉丝群655835773.谱子:星星子原创,他真的，我哭死[抓狂][抓狂][抓狂][抓狂]这次是真的！
美的,206932746,感动Bilibili知识区UP主提名奖获得者,爷青回！！！！
声物课,308693140,"认真做内容，把最有趣的配音作品带给你！
商恰+V ：ShengwuDT（注明来意）
",最伟大的作品！！！音乐之王周杰伦！！！[名侦探柯南_开心]
PersianCat_,330261227,,三年又三年，周杰伦你知道这6年我是怎么过的吗！！
格兰仕官方账号,606438321,一起想想10万粉送啥好？,当一个作品被创作出来的时候，他并不知道他惊艳了一个时代[给心心]
本站唯一指定车车人,382133059,我是一个DD（daredemo decade）,今天是个大喜日子[大哭][大哭][大哭]
高桥医院凉介院长,450988133,成分复杂捏,六年的等待，是值得的！[奶茶干杯][奶茶干杯][奶茶干杯]
IGのwink,277449567,哈哈哈，隔。。。,现在的主要问题是，周杰伦日益增长的音乐水平和听众停滞不前的鉴赏能力的矛盾。
唐可可可可可可可,520200545,,“路还在闯 我还在创”
PB白衣少侠,7679753,"音乐是这个世界最美妙的恩赐。
粉丝群460180536，欢迎加入！
商务合作请联系QQ 2221142014",充分融会贯通以前到现在的风格并且把它做出自己的独特理解，周杰伦一直都是流行音乐的开拓者和先驱者
荣耀手机,99748932, HONOR 荣耀，全球标志性的科技品牌。荣耀官网指路：https://www.hihonor.com/cn/,[酸了]听完后更等不了啊！！我要下一次睁眼就是15号！！[大哭]
凯迪拉克官方,476720460,含「凯」量100%。日常宠粉！常来找我玩鸭～,最伟大的作品！！小凯已经开始期待全专[星星眼][星星眼]
樱萍Apple,1723817,"感谢关注！动漫音乐/日文原创歌手，偶尔社死
网易云/QQ音乐/微博：樱萍Apple
Q群147836388
商务合作请私信联系",[喜极而泣]这就是周杰伦的力量吗，睡醒打开朋友圈直接被刷屏，这弦乐爷的青春啊啊啊啊啊[大哭][大哭][大哭][大哭][大哭]
联想拯救者官方,351899011,拯救者Y70正装野兽：低调家族颜值，强劲祖传性能,狠狠听哭了TAT！！！！！！！！！！！！！！！
纯氧害人虫,222747375,一个臭打游戏的,过年了我操！
天王表TIANWANG,1154617135,因时而动，方显从容,！！好气！我没有掐住表！但是一点不妨碍我给杰伦打电话[打call][打call]
华为,578227337,2022，在一起，就可以！,最伟大的作品，阿华懂，阿华以此自勉！[热词系列_爷青回][热词系列_爷青回][热词系列_爷青回]
得物App,9381300,欢迎来到「得物」的世界 新一代潮流网购社区 热门球鞋开箱 // 潮流单品推荐 // 穿搭建议分享,鉴别过了！依旧是华语乐坛第一人[给心心]
温暖的乔治,432249630,宇宙是流变，生活是意见。,原来最伟大的作品指的是历史上那些伟大的艺术家的作品呀[doge]
東方淮竹,2075143,挺好的。,"当一件伟大的作品被创作出来时
艺术家并不会知道
自己成就了一整个艺术时代
————时隔六年，2022年7月15日，周杰伦第十五张专辑《最伟大的作品》正式上线

杰迷朋友们好久不见，大家过年好[奶茶干杯]

==转自06年天涯杰迷==
浮光掠影的演艺圈，潮来汐往，没有了谁都还是一样热闹。

我在看周杰伦视频的时候，脑子裏也常会冒出一些问题。

看他2004台北演唱会的DVD，摄影机掠过台下那一张张歌迷的笑脸，那些人今年还在支持他吗？
看他去泰国赈灾晚会的表演，那些夹道欢迎，把分贝喊到最大的外国人，她们现在还是小伦的歌迷吗？

能记住13届金曲奖上他得了几座奖杯的歌迷有多少？
谁还记得他2002年3场红馆演唱会门票半小时销售一空的记录？
甚至又有几个歌迷能准确报出他《七里香》的销量？

。。。
这就是演艺圈的浮华。一切都是过往云烟。
到了今年，谁还记得去年的烟花？哪怕是再绚烂的。
人，是多麽健忘的动物。

於是，我舍不得删掉任何一个他过往的视频，并且把重要的备份。
於是，我收集关於他的重要新闻和评论，并标注日期。

我怕过了今天，我也记不得那些人或事。
我怕过了明天，我也不再是今天的我。

周杰伦说：“我的音乐生涯是场战争，歌迷是我的战友。在这个过程中，有些人会退出，有些人会加入，有些人会留下来……然而留到最後的只有我自己，我的尽头是孤独。”

今天的周杰伦前呼後拥，众星捧月，
今天的我们激情满怀，心潮澎湃。
当有一天周杰伦没有了曝光率，有多少歌迷的爱还能与他同在？

我不知道。
我甚至不能保证我自己。

浮华背後，真的只剩他的孤独吗？

如果有一天，他不再有很多很多的爱，就要有一个很爱很爱他的人。
当所有的歌迷开始过上幸福的生活，我希望他也是幸福的。"
书亦烧仙草,397687702,头像是本人，欢迎来rua，不支持网恋（别看我粉少，但真的是官方！！）,夏天还得听杰伦！
不爱吃折耳根QAQ,23887154,藏好自己,不能说的秘密？？！！
枫原吱屋猪,62813954,每天进步亿点点,开头的第二段钢琴曲是电影《不能说的秘密》穿越的曲子《secret》[打call]
水水的熊,282871899,,"根据MV的笔记本来看，应该是一共致敬了六位艺术大师，MV中出现的包括：
1. 马格利特-《戴黑帽的男人》
2. 达利-的标志性胡子
3. 常玉-《青花盆与菊》《曲腿luo女》
4. 莫奈-《睡莲》
5. 徐志摩-《再别康桥》《翡冷翠的雨夜》宇宙大腿（评价常玉的画作）
6. 朗朗
7. 恐怕还有杰伦自己
匆忙整理、欢迎补充纠正。"
